codigo_ramo,nombre_ramo,codigo_prerrequisito,nombre_prerrequisito,tipo,fuente_archivo,evidencia_textual,confianza
AEA893,Investigación de Mercados,AEA364,Marketing Operacional,Prerrequisito,documentos/semestre_08/08_AEA893_investigacion_de_mercados.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA364 y AEA503 y AEA425 )o ( TUR292 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA893,Investigación de Mercados,AEA425,Econometría,Prerrequisito,documentos/semestre_08/08_AEA893_investigacion_de_mercados.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA364 y AEA503 y AEA425 )o ( TUR292 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA893,Investigación de Mercados,AEA503,Marketing Estratégico,Prerrequisito,documentos/semestre_08/08_AEA893_investigacion_de_mercados.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA364 y AEA503 y AEA425 )o ( TUR292 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA530,Negociación y Resolución de Conflictos,AEA315,Microeconomía II,Prerrequisito,documentos/semestre_08/08_AEA530_negociacion_y_resolucion_de_conflictos.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA315 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA790,Control de Gestión,AEA320,Fundamentos de Estrategia,Prerrequisito,documentos/semestre_08/08_AEA790_control_de_gestion.pdf,"dad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE, ON-LINE Requisito ( AEA320 y AEA605 )o ( AEA225 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA790,Control de Gestión,AEA605,Dirección Estratégica de RRHH,Prerrequisito,documentos/semestre_08/08_AEA790_control_de_gestion.pdf,"dad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE, ON-LINE Requisito ( AEA320 y AEA605 )o ( AEA225 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
EIN813,Administración de la Producción,AEA325,Dirección Estratégica,Prerrequisito,documentos/semestre_08/08_EIN813_administracion_de_la_produccion.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( MAT333 )o ( AEA325 )o ( EIN810 )o ( MIN815 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
EIN813,Administración de la Producción,EIN810,Gestión de la Calidad,Prerrequisito,documentos/semestre_08/08_EIN813_administracion_de_la_produccion.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( MAT333 )o ( AEA325 )o ( EIN810 )o ( MIN815 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA694,Finanzas Corporativas,AEA504,Introducción a las Finanzas,Prerrequisito,documentos/semestre_08/08_AEA694_finanzas_corporativas.pdf,"3 Modalidad Educativa E-SUPPORT Régimen Asignatura EXECUTIVE, ON-LINE Requisito AEA504 DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA940,Economía para Políticas Públicas,AEA316,Macroeconomía I,Prerrequisito,documentos/semestre_09/09_AEA940_economia_para_politicas_publicas.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA316 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
