codigo_ramo,nombre_ramo,codigo_prerrequisito,nombre_prerrequisito,tipo,fuente_archivo,evidencia_textual,confianza
AEA783,Gestión de Marcas,AEA364,Marketing Operacional,Prerrequisito,documentos/semestre_09/09_AEA783_gestion_de_marcas.pdf,Requisito: AEA503 y AEA364,Alta
AEA783,Gestión de Marcas,AEA503,Marketing Estratégico,Prerrequisito,documentos/semestre_09/09_AEA783_gestion_de_marcas.pdf,Requisito: AEA503 y AEA364,Alta
AEA394,Instrumentos de Inversión,AEA694,Finanzas Corporativas,Prerrequisito,documentos/semestre_09/09_AEA394_instrumentos_de_inversion.pdf,Requisito: AEA694 )o ( AEA145 )o ( AEA104,Alta
AEA988,Taller de Desarrollo de Carrera,,,Sin prerrequisito,documentos/semestre_09/09_AEA988_taller_de_desarrollo_de_carrera.pdf,Requisito,Alta
AEA404,Financiamiento de Inversiones,AEA555,Preparación y Evaluación de Proyectos,Prerrequisito,documentos/semestre_10/10_AEA404_financiamiento_de_inversiones.pdf,Requisito: AEA694 y AEA555,Alta
AEA404,Financiamiento de Inversiones,AEA694,Finanzas Corporativas,Prerrequisito,documentos/semestre_10/10_AEA404_financiamiento_de_inversiones.pdf,Requisito: AEA694 y AEA555,Alta
AEA520,Responsabilidad Social Corporativa,,,No detectado,documentos/semestre_10/10_AEA520_responsabilidad_social_corporativa.pdf,Requisito: AEA131 )o ( AEA550,No aplica
AEA540,Decisiones y Simulación,AEA425,Econometría,Prerrequisito,documentos/semestre_10/10_AEA540_decisiones_y_simulacion.pdf,Requisito: AEA792 y AES500 )o ( AEA425 )o ( MIN211,Alta
AEA540,Decisiones y Simulación,AES500,Probabilidad y Estadística,Prerrequisito,documentos/semestre_10/10_AEA540_decisiones_y_simulacion.pdf,Requisito: AEA792 y AES500 )o ( AEA425 )o ( MIN211,Alta
AEA040,Taller Aplicado a Administración,AEA325,Dirección Estratégica,Prerrequisito,documentos/semestre_10/10_AEA040_taller_aplicado_a_administracion.pdf,Requisito: AEA555 y AEA325 y AEA790,Alta
AEA040,Taller Aplicado a Administración,AEA555,Preparación y Evaluación de Proyectos,Prerrequisito,documentos/semestre_10/10_AEA040_taller_aplicado_a_administracion.pdf,Requisito: AEA555 y AEA325 y AEA790,Alta
AEA040,Taller Aplicado a Administración,AEA790,Control de Gestión,Prerrequisito,documentos/semestre_10/10_AEA040_taller_aplicado_a_administracion.pdf,Requisito: AEA555 y AEA325 y AEA790,Alta
